Data;Hora;Chuva;Nivel;Temperatura Media;Umidade Media
26/03/2023;2100;0.20;2.36;26.45;74.00
26/03/2023;0;0.00;2.36;26.30;84.50
26/03/2023;100;0.00;2.36;26.00;85.50
26/03/2023;200;0.00;2.36;25.60;86.50
26/03/2023;300;0.00;2.36;25.65;87.00
26/03/2023;400;0.00;2.36;25.35;88.50
26/03/2023;500;0.00;2.36;25.15;89.50
26/03/2023;600;0.00;2.36;24.80;90.00
26/03/2023;700;0.00;2.36;24.30;90.50
26/03/2023;800;0.00;2.36;24.35;90.50
26/03/2023;900;0.00;2.36;24.55;89.00
26/03/2023;1000;0.00;2.36;24.55;86.50
26/03/2023;1100;0.00;2.36;24.70;88.50
26/03/2023;1200;0.00;2.36;27.25;81.00
26/03/2023;1300;0.00;2.36;29.75;68.00
26/03/2023;1400;0.00;2.36;31.70;59.50
26/03/2023;1500;0.00;2.36;32.35;56.00
26/03/2023;1600;0.00;2.36;32.50;52.50
26/03/2023;1700;0.00;2.36;33.45;47.50
26/03/2023;1800;0.00;2.36;33.90;47.00
26/03/2023;2200;0.00;2.36;26.35;72.00
26/03/2023;2300;0.00;2.36;25.50;78.00
27/03/2023;0;0.00;2.39;25.90;71.50
27/03/2023;100;0.00;2.39;24.60;82.00
27/03/2023;200;0.00;2.39;24.70;83.50
27/03/2023;300;0.00;2.39;24.60;83.50
27/03/2023;400;0.00;2.39;24.15;87.00
27/03/2023;500;0.00;2.39;24.10;85.50
27/03/2023;600;0.00;2.39;24.10;83.50
27/03/2023;700;0.00;2.39;23.85;84.00
27/03/2023;800;0.00;2.39;23.70;84.50
27/03/2023;900;0.00;2.39;23.50;85.50
27/03/2023;1000;0.00;2.39;23.55;86.50
27/03/2023;1100;0.00;2.39;24.20;85.00
27/03/2023;1200;0.00;2.39;25.45;80.00
27/03/2023;1300;0.00;2.39;27.15;73.50
27/03/2023;1400;0.00;2.39;28.35;70.00
27/03/2023;1500;0.00;2.39;29.90;64.00
27/03/2023;1600;0.00;2.39;30.60;59.50
27/03/2023;1700;0.00;2.39;31.40;60.00
27/03/2023;1800;0.00;2.39;31.80;59.50
27/03/2023;1900;0.00;2.39;32.40;55.50
27/03/2023;2000;0.00;2.39;32.00;58.50
27/03/2023;2100;0.00;2.39;31.40;61.50
27/03/2023;2200;0.00;2.39;30.35;67.50
27/03/2023;2300;0.00;2.39;29.65;68.50
28/03/2023;0;0.00;2.40;29.00;70.00
28/03/2023;100;0.00;2.40;28.20;73.50
28/03/2023;200;0.00;2.40;27.20;80.50
28/03/2023;300;0.00;2.40;26.30;87.00
28/03/2023;400;0.00;2.40;26.10;87.00
28/03/2023;500;0.00;2.40;25.95;84.50
28/03/2023;600;0.00;2.40;25.95;84.00
28/03/2023;700;0.00;2.40;25.50;86.00
28/03/2023;800;0.00;2.40;25.15;87.50
28/03/2023;900;0.00;2.40;24.95;88.00
28/03/2023;1000;0.00;2.40;24.65;88.50
28/03/2023;1100;0.00;2.40;25.65;86.00
28/03/2023;1200;0.00;2.40;27.15;82.00
28/03/2023;1300;0.00;2.40;29.35;74.00
28/03/2023;1400;0.00;2.40;31.05;64.00
28/03/2023;1500;0.00;2.40;31.65;59.00
28/03/2023;1600;0.00;2.40;33.10;54.00
28/03/2023;1700;0.00;2.40;33.30;54.50
28/03/2023;1800;0.00;2.40;33.90;52.00
28/03/2023;1900;0.00;2.40;33.45;52.50
28/03/2023;2000;0.00;2.40;33.10;53.50
28/03/2023;2100;0.00;2.40;32.25;58.00
28/03/2023;2200;0.00;2.40;30.75;66.00
28/03/2023;2300;0.00;2.40;29.80;70.00
29/03/2023;0;0.00;2.42;29.30;70.50
29/03/2023;100;0.00;2.42;28.50;73.50
29/03/2023;200;0.00;2.42;28.10;69.50
29/03/2023;300;0.00;2.42;28.60;63.50
29/03/2023;400;0.00;2.42;28.05;68.00
29/03/2023;500;0.00;2.42;27.50;71.00
29/03/2023;600;0.00;2.42;27.30;74.00
29/03/2023;700;0.00;2.42;26.35;80.00
29/03/2023;800;0.00;2.42;26.55;78.50
29/03/2023;900;0.00;2.42;26.80;78.50
29/03/2023;1000;0.00;2.42;26.60;80.50
29/03/2023;1100;0.00;2.42;26.70;80.00
29/03/2023;1200;0.00;2.42;28.20;74.00
29/03/2023;1300;0.00;2.42;29.60;70.50
29/03/2023;1400;0.00;2.42;31.00;66.00
29/03/2023;1500;0.00;2.42;32.75;59.50
29/03/2023;1600;0.00;2.42;33.20;56.00
29/03/2023;1700;0.00;2.42;34.05;52.00
29/03/2023;1800;0.00;2.42;34.15;50.50
29/03/2023;1900;0.00;2.42;33.05;53.50
29/03/2023;2000;0.00;2.42;30.85;60.50
29/03/2023;2100;0.00;2.42;31.00;58.00
29/03/2023;2200;0.00;2.42;30.75;62.50
29/03/2023;2300;0.00;2.42;29.85;68.00
30/03/2023;0;0.00;2.43;29.30;71.00
30/03/2023;100;0.00;2.43;28.95;73.00
30/03/2023;200;0.00;2.43;28.75;73.50
30/03/2023;300;0.00;2.43;28.95;72.00
30/03/2023;400;0.00;2.43;28.65;72.00
30/03/2023;500;0.00;2.43;28.10;74.00
30/03/2023;600;0.00;2.43;27.40;79.50
30/03/2023;700;0.00;2.43;27.20;79.50
30/03/2023;800;0.00;2.43;27.15;74.00
30/03/2023;900;0.00;2.43;26.90;75.00
30/03/2023;1000;0.00;2.43;26.20;78.50
30/03/2023;1100;0.00;2.43;27.35;76.50
30/03/2023;1200;0.00;2.43;29.15;68.00
30/03/2023;1300;0.00;2.43;30.40;64.00
30/03/2023;1400;0.00;2.43;31.70;61.50
30/03/2023;1500;0.00;2.43;33.10;54.50
30/03/2023;1600;0.00;2.43;33.75;51.00
30/03/2023;1700;0.00;2.43;34.20;48.50
30/03/2023;1800;0.00;2.43;34.60;48.00
30/03/2023;1900;0.00;2.43;33.55;49.00
30/03/2023;2000;0.00;2.43;31.30;55.00
30/03/2023;2100;0.00;2.43;31.00;55.50
30/03/2023;2200;0.00;2.43;30.80;60.50
30/03/2023;2300;0.00;2.43;29.35;67.00
31/03/2023;0;0.00;2.45;28.50;68.50
31/03/2023;100;0.00;2.45;28.15;68.00
31/03/2023;200;0.00;2.45;27.85;69.50
31/03/2023;300;0.00;2.45;27.20;69.00
31/03/2023;400;0.00;2.45;26.80;69.00
31/03/2023;500;0.00;2.45;25.75;76.00
31/03/2023;600;0.00;2.45;25.75;77.00
31/03/2023;700;0.00;2.45;25.95;75.50
31/03/2023;800;0.00;2.45;25.70;76.50
31/03/2023;900;0.00;2.45;24.95;80.00
31/03/2023;1000;0.00;2.45;24.85;79.00
31/03/2023;1100;0.00;2.45;25.30;81.50
31/03/2023;1200;0.00;2.45;26.85;77.50
31/03/2023;1300;0.00;2.45;28.80;69.50
31/03/2023;1400;0.00;2.45;30.10;65.50
31/03/2023;1500;0.00;2.45;31.15;62.00
31/03/2023;1600;0.00;2.45;32.40;56.50
31/03/2023;1700;0.00;2.45;33.00;53.00
31/03/2023;1800;0.00;2.45;33.90;48.50
31/03/2023;1900;0.00;2.45;34.15;46.00
31/03/2023;2000;0.00;2.45;34.25;45.00
31/03/2023;2100;0.00;2.45;33.80;46.00
31/03/2023;2200;0.00;2.45;32.15;52.00
31/03/2023;2300;0.00;2.45;30.50;55.50
01/04/2023;0;0.00;2.47;29.15;62.00
01/04/2023;100;0.00;2.47;28.45;61.00
01/04/2023;200;0.00;2.47;27.30;68.00
01/04/2023;300;0.00;2.47;25.65;77.50
01/04/2023;400;0.00;2.47;24.85;80.00
01/04/2023;500;0.00;2.47;25.05;77.00
01/04/2023;600;0.00;2.47;25.60;73.00
01/04/2023;700;0.00;2.47;25.60;76.50
01/04/2023;800;0.00;2.47;25.00;83.00
01/04/2023;900;0.00;2.47;24.70;85.50
01/04/2023;1000;0.00;2.47;24.95;84.00
01/04/2023;1100;0.00;2.47;25.65;77.50
01/04/2023;1200;0.00;2.47;27.15;74.00
01/04/2023;1300;0.00;2.47;29.05;67.50
01/04/2023;1400;0.00;2.47;30.40;60.50
01/04/2023;1500;0.00;2.47;31.10;60.00
01/04/2023;1600;0.00;2.47;31.60;56.50
01/04/2023;1700;0.00;2.47;32.45;53.00
01/04/2023;1800;0.00;2.47;32.45;53.00
01/04/2023;1900;0.00;2.47;32.50;50.00
01/04/2023;2000;0.00;2.47;32.20;49.00
